Rank,Author,Title,Citations,Year,Source,cit/year
579," Liu, W Xu, S Bai, Y Jin, J Wang, RH Friend, F Gao",Metal halide perovskites for light-emitting diodes,1199,2021,https://www.nature.com/articles/s41563-020-0784-7,240
412,"Ni, C Bao, Y Liu, Q Jiang, WQ Wu, S Chen, X Dai…",Resolving spatial and energetic distributions of trap states in metal halide perovskite solar cells,1007,2020,https://www.science.org/doi/abs/10.1126/science.aba0893,168
95," Kim, S Kim, A Kakekhani, J Park, J Park, YH Lee…",Comprehensive defect suppression in perovskite nanocrystals for high-efficiency light-emitting diodes,810,2021,https://www.nature.com/articles/s41566-020-00732-4,162
77,"Hassan, JH Park, ML Crawford, A Sadhanala, J Lee…",Ligand-engineered bandgap stability in mixed-halide perovskite LEDs,691,2021,https://www.nature.com/articles/s41586-021-03217-8,138
255," Yu, Z Chen, Y Zhu, Y Wang, B Han…",Heterogeneous 2D/3D tin‐halides perovskite solar cells with certified conversion efficiency breaking 14%,514,2021,https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.202102055,103
28,"Jin, E Debroye, M Keshavarz, IG Scheblykin…",It's a trap! On the nature of localised states and charge trapping in lead halide perovskites,499,2020,https://pubs.rsc.org/en/content/articlehtml/2019/mh/c9mh00500e,83
306,"Kirchartz, JA Márquez, M Stolterfoht…",Photoluminescence‐based characterization of halide perovskites for photovoltaics,477,2020,https://onlinelibrary.wiley.com/doi/abs/10.1002/aenm.201904134,80
10," Ono, S Liu, Y Qi",Reducing detrimental defects for high‐performance metal halide perovskite solar cells,455,2020,https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.201905521,76
87," Le Corre, EA Duijnstee, O El Tambouli…",Revealing charge carrier mobility and defect densities in metal halide perovskites via space-charge-limited current measurements,442,2021,https://pubs.acs.org/doi/abs/10.1021/acsenergylett.0c02599,88
250,"Liu, Y Guan, Y Sheng, Y Hu, Y Rong…",A review on additives for halide perovskite solar cells,397,2020,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/aenm.201902492,66
184," Dunfield, L Bliss, F Zhang, JM Luther…",From defects to degradation: a mechanistic understanding of degradation in perovskite solar cell devices and modules,387,2020,https://onlinelibrary.wiley.com/doi/abs/10.1002/aenm.201904054,64
2,"Ye, MM Byranvand, CO Martínez…",Defect passivation in lead‐halide perovskite nanocrystals and thin films: toward efficient LEDs and solar cells,373,2021,https://onlinelibrary.wiley.com/doi/abs/10.1002/ange.202102360,75
260,"Liu, D Luo, AN Iqbal, KWP Orr, TAS Doherty, ZH Lu…",Strain analysis and engineering in halide perovskite photovoltaics,366,2021,https://www.nature.com/articles/s41563-021-01097-x,73
196,"Fu, H Li, L Wang, R Yin, B Li, L Yin",Defect passivation strategies in perovskites for an enhanced photovoltaic performance,352,2020,https://pubs.rsc.org/en/content/articlehtml/2019/gx/d0ee01767a,59
134,"Xue, R Wang, Y Yang",The surface of halide perovskites from nano to bulk,335,2020,https://www.nature.com/articles/s41578-020-0221-1,56
508,"Liang, X Hu, C Wang, C Liang, C Chen, M Xiao, J Li…",Origins and influences of metallic lead in perovskite solar cells,325,2022,https://www.cell.com/joule/fulltext/S2542-4351(22)00132-5,81
547,"Wu, J Zhang, Z Li, D Liu, M Qin, SH Cheung, X Lu…",Modulation of defects and interfaces through alkylammonium interlayer for efficient inverted perovskite solar cells,321,2020,https://www.cell.com/joule/fulltext/S2542-4351(20)30139-2,54
387,"Xiong, Z Hou, S Zou, X Lu, J Yang, T Hao, Z Zhou…",Direct observation on p-to n-type transformation of perovskite surface region during defect passivation driving high photovoltaic efficiency,318,2021,https://www.cell.com/joule/fulltext/S2542-4351(20)30608-5,64
130,"Akin, N Arora, SM Zakeeruddin…",New strategies for defect passivation in high‐efficiency perovskite solar cells,316,2020,https://onlinelibrary.wiley.com/doi/abs/10.1002/aenm.201903090,53
482,"Wang, T Huang, J Xue, J Tong, K Zhu, Y Yang",Prospects for metal halide perovskite-based tandem solar cells,306,2021,https://www.nature.com/articles/s41566-021-00809-8,61
368,"Liu, A Nag, L Manna, Z Xia",Lead‐Free Double Perovskite Cs2AgInCl6,294,2021,https://onlinelibrary.wiley.com/doi/abs/10.1002/ange.202011833,59
317,"Gu, W Xiang, Q Tian, S Liu",Rational surface‐defect control via designed passivation for high‐efficiency inorganic perovskite solar cells,287,2021,https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202109724,57
74,"Ni, H Jiao, C Fei, H Gu, S Xu, Z Yu, G Yang, Y Deng…",Evolution of defects during the degradation of metal halide perovskite solar cells under reverse bias and illumination,287,2022,https://www.nature.com/articles/s41560-021-00949-9,72
341,"Lei, Q Dong, K Gundogdu, F So",Metal halide perovskites for laser applications,284,2021,https://onlinelibrary.wiley.com/doi/pdf/10.1002/adfm.202010144,57
151,"Wu, PN Rudd, Z Ni, CH Van Brackle…",Reducing surface halide deficiency for efficient and stable iodide-based perovskite solar cells,284,2020,https://pubs.acs.org/doi/abs/10.1021/jacs.9b13418,47
143,"Euvrard, Y Yan, DB Mitzi",Electrical doping in halide perovskites,280,2021,https://www.nature.com/articles/s41578-021-00286-z,56
591,"Yuan, A Hazarika, Q Zhao, X Ling, T Moot, W Ma…",Metal halide perovskites in quantum dot solar cells: progress and prospects,278,2020,https://www.cell.com/joule/fulltext/S2542-4351(20)30175-6,46
574,"Zheng, S Yuan, J Liu, J Yin, F Yuan…",Chlorine vacancy passivation in mixed halide perovskite quantum dots by organic pseudohalides enables efficient Rec. 2020 blue light-emitting diodes,275,2020,https://pubs.acs.org/doi/abs/10.1021/acsenergylett.0c00057,46
175,"Fang, W Chen, Y Shi, J Zhao, S Chu…",Dual passivation of perovskite defects for light‐emitting diodes with external quantum efficiency exceeding 20%,270,2020,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adfm.201909754,45
339,"Li, X Gao, X Zhang, X Shen, M Lu, J Wu…",Lead‐free halide perovskites for light emission: recent advances and perspectives,265,2021,https://onlinelibrary.wiley.com/doi/abs/10.1002/advs.202003334,53
50,"Chu, Q Zheng, OV Prezhdo, J Zhao, WA Saidi",Low-frequency lattice phonons in halide perovskites explain high defect tolerance toward electron-hole recombination,258,2020,https://www.science.org/doi/abs/10.1126/sciadv.aaw7453,43
490," Rothmann, JS Kim, J Borchert, KB Lohmann…",Atomic-scale microstructure of metal halide perovskite,257,2020,https://www.science.org/doi/abs/10.1126/science.abb5940,43
244," bin Mohd Yusoff, M Vasilopoulou…",Passivation and process engineering approaches of halide perovskite films for high efficiency and stability perovskite solar cells,255,2021,https://pubs.rsc.org/en/content/articlehtml/2021/xx/d1ee00062d,51
375,"Tan, I Yavuz, MH Weber, T Huang, CH Chen…",Shallow iodine defects accelerate the degradation of α-phase formamidinium perovskite,241,2020,https://www.cell.com/joule/fulltext/S2542-4351(20)30397-4,40
383,"Jiang, Z Zang, Y Zhou, H Li, Q Wei…",Tin halide perovskite solar cells: an emerging thin-film photovoltaic technology,226,2021,https://pubs.acs.org/doi/abs/10.1021/accountsmr.0c00111,45
466,"Pitaro, EK Tekelenburg, S Shao…",Tin halide perovskites: from fundamental properties to solar cells,218,2022,https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.202105844,54
333," Huang, SR Kavanagh, DO Scanlon, A Walsh…",Perovskite-inspired materials for photovoltaics and beyond—from design to devices,213,2021,https://iopscience.iop.org/article/10.1088/1361-6528/abcf6d/meta,43
535,"Yang, J Dou, S Kou, J Dang, Y Ji…",Multifunctional phosphorus‐containing Lewis acid and base passivation enabling efficient and moisture‐stable perovskite solar cells,213,2020,https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.201910710,36
314,"Meggiolaro, D Ricciarelli, AA Alasmari…",Tin versus lead redox chemistry modulates charge trapping and self-doping in tin/lead iodide perovskites,206,2020,https://pubs.acs.org/doi/abs/10.1021/acs.jpclett.0c00725,34
357,"Hou, P Chen, A Shukla, A Krajnc, T Wang, X Li…",Liquid-phase sintering of lead halide perovskites and metal-organic framework glasses,205,2021,https://www.science.org/doi/abs/10.1126/science.abf4460,41
19,"Zhou, I Poli, D Meggiolaro, F De Angelis…",Defect activity in metal halide perovskites with wide and narrow bandgap,205,2021,https://www.nature.com/articles/s41578-021-00331-x,41
106,"Chu, WA Saidi, J Zhao…",Soft Lattice and Defect Covalency Rationalize Tolerance of β‐CsPbI3 Perovskite Solar Cells to Native Defects,202,2020,https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.201915702,34
471,"Wang, A Wang, X Deng, L Xie, A Xiao, C Li…",Lewis acid/base approach for efficacious defect passivation in perovskite solar cells,201,2020,https://pubs.rsc.org/en/content/articlehtml/2020/ta/d0ta03957h,34
231,"Chen, S Tan, N Li, B Huang, X Niu, L Li, M Sun…",Self-elimination of intrinsic defects improves the low-temperature performance of perovskite photovoltaics,198,2020,https://www.cell.com/joule/fulltext/S2542-4351(20)30324-X,33
438,"Zhang, L Pfeifer, SM Zakeeruddin, J Chu…",Tailoring passivators for highly efficient and stable perovskite solar cells,195,2023,https://www.nature.com/articles/s41570-023-00510-0,65
235,"Yang, Z Ni, ZJ Yu, BW Larson, Z Yu, B Chen…",Defect engineering in wide-bandgap perovskites for efficient perovskite–silicon tandem solar cells,194,2022,https://www.nature.com/articles/s41566-022-01033-8,48
310," Brennan, A Ruth, PV Kamat, M Kuno",Photoinduced anion segregation in mixed halide perovskites,194,2020,https://www.cell.com/trends/chemistry/abstract/S2589-5974(20)30035-6,32
518,"Nasti, A Abate",Tin Halide Perovskite (ASnX3) Solar Cells: A Comprehensive Guide toward the Highest Power Conversion Efficiency,192,2020,https://onlinelibrary.wiley.com/doi/abs/10.1002/aenm.201902467,32
358,"Li, B Chang, L Pan, Z Li, L Fu, Z He, L Yin",Tin-based defects and passivation strategies in tin-related perovskite solar cells,191,2020,https://pubs.acs.org/doi/abs/10.1021/acsenergylett.0c01796,32
338,"Yang, Y Fu, R Su, Y Zheng, Y Zhang…",Superior carrier lifetimes exceeding 6 µs in polycrystalline halide perovskites,190,2020,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.202002585,32
274,"Macpherson, TAS Doherty, AJ Winchester, S Kosar…",Local nanoscale phase impurities are degradation sites in halide perovskites,185,2022,https://www.nature.com/articles/s41586-022-04872-1,46
88,"Zhao, P Zhu, S Huang, S Tan, M Wang…",Molecular interaction regulates the performance and longevity of defect passivation for metal halide perovskite solar cells,184,2020,https://pubs.acs.org/doi/abs/10.1021/jacs.0c09560,31
271,"Otero‐Martínez, J Ye, J Sung…","Colloidal metal‐halide perovskite nanoplatelets: thickness‐controlled synthesis, properties, and application in light‐emitting diodes",181,2022,https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.202107105,45
173,"Samiul Islam, K Sobayel, A A",Defect study and modelling of SnX3-based perovskite solar cells with SCAPS-1D,181,2021,https://www.mdpi.com/2079-4991/11/5/1218,36
269,"Phung, R Félix, D Meggiolaro…",The doping mechanism of halide perovskite unveiled by alkaline earth metals,179,2020,https://pubs.acs.org/doi/abs/10.1021/jacs.9b11637,30
167,"Liu, X Zheng, Y Fang, Y Zhou, Z Ni, X Xiao…",Ligand assisted growth of perovskite single crystals with low defect density,179,2021,https://www.nature.com/articles/s41467-021-21934-6,36
537,"Yang, D Bogachuk, J Suo, L Wagner, H Kim…",Strain effects on halide perovskite solar cells,178,2022,https://pubs.rsc.org/en/content/articlehtml/2009/m0/d2cs00278g,44
286," Senanayak, M Abd","A general approach for hysteresis-free, operationally stable metal halide perovskite field-effect transistors",177,2020,https://www.science.org/doi/abs/10.1126/sciadv.aaz4948,30
225," Isikgor, F Furlan, J Liu, E Ugur, MK Eswaran…",Concurrent cationic and anionic perovskite defect passivation enables 27.4% perovskite/silicon tandems with suppression of halide segregation,172,2021,https://www.cell.com/joule/fulltext/S2542-4351(21)00248-8,34
513," Beal, NZ Hagström, J Barrier, A Gol",Structural origins of light-induced phase segregation in organic-inorganic halide perovskite photovoltaic materials,172,2020,https://www.cell.com/matter/fulltext/S2590-2385(19)30337-6?sf230899259=1,29
292,"Zhao, I Yavuz, M Wang, MH Weber, M Xu, JH Lee…",Suppressing ion migration in metal halide perovskite via interstitial doping with a trace amount of multivalent cations,165,2022,https://www.nature.com/articles/s41563-022-01390-3,41
234,"Li, Z Su, M Li, F Yang, MH Aldamasy…",Ionic liquid stabilizing high‐efficiency tin halide perovskite solar cells,164,2021,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/aenm.202101539,33
91,Fiuz,Ligand chemistry of inorganic lead halide perovskite nanocrystals,160,2023,https://pubs.acs.org/doi/abs/10.1021/acsenergylett.2c02363,53
18," Kim, A Petrozza",Defect tolerance and intolerance in metal‐halide perovskites,157,2020,https://onlinelibrary.wiley.com/doi/abs/10.1002/aenm.202001959,26
35,"Phung, A Al‐Ashouri, S Meloni…",The role of grain boundaries on ionic defect migration in metal halide perovskites,157,2020,https://onlinelibrary.wiley.com/doi/abs/10.1002/aenm.201903735,26
573," Kamat, M Kuno",Halide ion migration in perovskite nanocrystals and nanostructures,157,2021,https://pubs.acs.org/doi/abs/10.1021/acs.accounts.0c00749,31
171,"Hills‐Kimball, H Yang, T Cai, J Wang…",Recent advances in ligand design and engineering in lead halide perovskite nanocrystals,156,2021,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/advs.202100214,31
54,"Lu, A Krishna, SM Zakeeruddin, M Grätzel…",Compositional and interface engineering of organic-inorganic lead halide perovskite solar cells,156,2020,https://www.cell.com/iscience/fulltext/S2589-0042(20)30546-0,26
379,"Huang, T Lei, M Siron, Y Zhang, S Yu, F Seeler…",Lead-free cesium europium halide perovskite nanocrystals,155,2020,https://pubs.acs.org/doi/abs/10.1021/acs.nanolett.0c00692,26
376," Goetz, AD Taylor, F Paulus…",Shining light on the photoluminescence properties of metal halide perovskites,153,2020,https://onlinelibrary.wiley.com/doi/abs/10.1002/adfm.201910004,26
278,"Guzelturk, T Winkler, TWJ Van de Goor, MD Smith…",Visualization of dynamic polaronic strain fields in hybrid lead halide perovskites,150,2021,https://www.nature.com/articles/s41563-020-00865-5,30
303," Fabini, R Seshadri, MG Kanatzidis",The underappreciated lone pair in halide perovskites underpins their unusual properties,150,2020,https://www.cambridge.org/core/journals/mrs-bulletin/article/underappreciated-lone-pair-in-halide-perovskites-underpins-their-unusual-properties/F3ACCAD1AD4AC9182D99F44E7CB6FF2D,25
114," Ahmed, J Yin, OM Bakr, OF Mohammed",Successes and challenges of core/shell lead halide perovskite nanocrystals,147,2021,https://pubs.acs.org/doi/abs/10.1021/acsenergylett.1c00076,29
160,"Chen, P Wang, Y Wu, Q Zhang, Q Wu…",Lead‐free halide perovskite Cs3Bi2xSb2–2xI9 (x≈ 0.3) possessing the photocatalytic activity for hydrogen evolution comparable to that of (CH3NH3) PbI3,145,2020,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.202001344,24
411,"Kim, B Park, J Baek, JS Yun, HW Kwon…",Unveiling the relationship between the perovskite precursor solution and the resulting device performance,143,2020,https://pubs.acs.org/doi/abs/10.1021/jacs.0c00411,24
594,"Tang, Y Xu, X Hu, Q Hu, T Chen, W Jiang…",Lead‐free halide double perovskite nanocrystals for light‐emitting applications: strategies for boosting efficiency and stability,141,2021,https://onlinelibrary.wiley.com/doi/abs/10.1002/advs.202004118,28
186,"Chen, H Zhou",Defects chemistry in high-efficiency and stable perovskite solar cells,140,2020,https://pubs.aip.org/aip/jap/article/128/6/060903/1063721,23
399," She, C Chen, G Divitini, B Zhao, Y Li, J Wang…",A solvent-based surface cleaning and passivation technique for suppressing ionic defects in high-mobility perovskite field-effect transistors,135,2020,https://www.nature.com/articles/s41928-020-00486-5,22
40," Savill, AM Ulatowski, LM Herz",Optoelectronic properties of tin–lead halide perovskites,134,2021,https://pubs.acs.org/doi/abs/10.1021/acsenergylett.1c00776,27
55,"Xie, Z Wang, Z Chen, C Pereyra, M Pols…",Decoupling the effects of defects on efficiency and stability through phosphonates in stable halide perovskite solar cells,134,2021,https://www.cell.com/joule/fulltext/S2542-4351(21)00155-0,27
403," Mao, Z Zheng, ZY Xiong, P Huang, GL Ding…",Lead-free monocrystalline perovskite resistive switching device for temporal information processing,130,2020,https://www.sciencedirect.com/science/article/pii/S2211285520301749,22
458,"López‐Fernández, D Valli, CY Wang…",Lead‐free halide perovskite materials and optoelectronic devices: progress and prospective,129,2024,https://onlinelibrary.wiley.com/doi/abs/10.1002/adfm.202307896,64
238,"Meggiolaro, F Ambrosio, E Mosconi…",Polarons in metal halide perovskites,125,2020,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/aenm.201902748,21
352," Tong, L Li, LM Liu, OV Prezhdo",Synergy between ion migration and charge carrier recombination in metal-halide perovskites,124,2020,https://pubs.acs.org/doi/abs/10.1021/jacs.9b12391,21
327,"Z Hoye, J Hidalgo, RA Jagt…","The role of dimensionality on the optoelectronic properties of oxide and halide perovskites, and their halide derivatives",123,2022,https://onlinelibrary.wiley.com/doi/abs/10.1002/aenm.202100499,31
523,"Meng, K Zhang, A Osvet, J Zhang, W Gruber…",Revealing the strain-associated physical mechanisms impacting the performance and stability of perovskite solar cells,123,2022,https://www.cell.com/joule/fulltext/S2542-4351(22)00043-5,31
220,"Palazon, Y El Ajjouri, HJ Bolink",Making by grinding: mechanochemistry boosts the development of halide perovskites and other multinary metal halides,122,2020,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/aenm.201902499,20
7,"Qiao, WH Fang, R Long, OV Prezhdo",Extending carrier lifetimes in lead halide perovskites with alkali metals by passivating and eliminating halide interstitial defects,120,2020,https://onlinelibrary.wiley.com/doi/abs/10.1002/ange.201911615,20
161,"Duan, A Uddin",Defects and stability of perovskite solar cells: a critical analysis,120,2022,https://pubs.rsc.org/en/content/articlehtml/2022/qm/d1qm01250a,30
177,"Sakhatskyi, RA John, A Guerrero, S Tsarev…",Assessing the drawbacks and benefits of ion migration in lead halide perovskites,119,2022,https://pubs.acs.org/doi/abs/10.1021/acsenergylett.2c01663,30
15,"Lanzetta, N Aristidou, SA Haque",Stability of lead and tin halide perovskites: the link between defects and degradation,119,2020,https://pubs.acs.org/doi/abs/10.1021/acs.jpclett.9b02191,20
459," Yoo, SS Shin, J Seo","Toward efficient perovskite solar cells: progress, strategies, and perspectives",118,2022,https://pubs.acs.org/doi/abs/10.1021/acsenergylett.2c00592,30
17,"Siekmann, S Ravishankar, T Kirchartz",Apparent defect densities in halide perovskite thin films and single crystals,117,2021,https://pubs.acs.org/doi/full/10.1021/acsenergylett.1c01449,23
442,"Wang, G Xing, Q Song, S Xiao",Micro‐and nanostructured lead halide perovskites: from materials to integrations and devices,117,2021,https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.202000306,23
283,"Qiu, S He, LK Ono, Y Qi",Progress of Surface Science Studies on ABX3‐Based Metal Halide Perovskite Solar Cells,117,2020,https://onlinelibrary.wiley.com/doi/abs/10.1002/aenm.201902726,20
449,"Wu, J Feng, Z Yang, Y Liu, S Liu",Halide perovskite: a promising candidate for next‐generation X‐ray detectors,116,2023,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/advs.202205536,39
499,"Guo, J Sun, L Hu, S Fang, X Ling…",Indigo: a natural molecular passivator for efficient perovskite solar cells,116,2022,https://onlinelibrary.wiley.com/doi/abs/10.1002/aenm.202200537,29
221,"Tong, A Najar, L Wang, L Liu, M Du, J Yang…",Wide‐bandgap organic–inorganic lead halide perovskite solar cells,116,2022,https://onlinelibrary.wiley.com/doi/abs/10.1002/advs.202105085,29
422,"Sun, Y Liu, G Qu, Y Fan, W Dai, Y Wang…",Lead halide perovskite vortex microlasers,115,2020,https://www.nature.com/articles/s41467-020-18669-1,19
419,"Piveteau, V Morad, MV Kovalenko",Solid-state NMR and NQR spectroscopy of lead-halide perovskite materials,113,2020,https://pubs.acs.org/doi/abs/10.1021/jacs.0c07338,19
42,"Reichert, Q An, YW Woo, A Walsh, Y Vaynzof…",Probing the ionic defect landscape in halide perovskite solar cells,112,2020,https://www.nature.com/articles/s41467-020-19769-8,19
261,"Wang, J Liu, J Yin, E Aydin…",Defect passivation in perovskite solar cells by cyano‐based π‐conjugated molecules for improved performance and stability,111,2020,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adfm.202002861,18
512,"Chen, Y Liu, X Xiao, Z Yu, Y Deng, X Dai, Z Ni…",Identifying the soft nature of defective perovskite surface layer and its removal using a facile mechanical approach,111,2020,https://www.cell.com/joule/fulltext/S2542-4351(20)30503-1?uuid=uuid%3Ac61fe5d0-9a7c-4ae4-9354-bc5cbf8cc965,18
58,"Lei, Y Xu, M Wang, G Zhu, Z Jin","Origin, influence, and countermeasures of defects in perovskite solar cells",110,2021,https://onlinelibrary.wiley.com/doi/abs/10.1002/smll.202005495,22
104," Smock, Y Chen, AJ Rossini…",The surface chemistry and structure of colloidal lead halide perovskite nanocrystals,108,2021,https://pubs.acs.org/doi/abs/10.1021/acs.accounts.0c00741,22
163,"Zhuang, J Wang, F Yan",Review on chemical stability of lead halide perovskite solar cells,107,2023,https://link.springer.com/article/10.1007/s40820-023-01046-0,36
275,"Chen, X Wang, Z Li, X Du, Z Shao…",Polyacrylonitrile‐coordinated perovskite solar cell with open‐circuit voltage exceeding 1.23 V,107,2022,https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202113932,27
501,"Zhang, J Chen, L Kong, L Wang…",Core/shell metal halide perovskite nanocrystals for optoelectronic applications,106,2021,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adfm.202100438,21
